epoch,loss,masked_MSE_multiple_masks,val_loss,val_masked_MSE_multiple_masks
0,3372.6650390625,3372.6650390625,3185.3623046875,3185.3623046875
1,3024.08837890625,3024.08837890625,2956.3818359375,2956.3818359375
2,2923.443115234375,2923.443115234375,2903.603759765625,2903.603759765625
3,2914.180908203125,2914.180908203125,2885.300537109375,2885.300537109375
4,2882.751708984375,2882.751708984375,2858.760009765625,2858.760009765625
5,2862.749755859375,2862.749755859375,2821.293212890625,2821.293212890625
6,2535.27734375,2535.27734375,2282.4853515625,2282.4853515625
7,2231.962646484375,2231.962646484375,2193.697021484375,2193.697021484375
8,1883.92724609375,1883.92724609375,1554.4481201171875,1554.4481201171875
9,1289.953857421875,1289.953857421875,1156.79638671875,1156.79638671875
10,960.9248657226562,960.9248657226562,873.6727905273438,873.6727905273438
11,807.6173706054688,807.6173706054688,807.486328125,807.486328125
12,739.655517578125,739.655517578125,780.1585693359375,780.1585693359375
13,701.033935546875,701.033935546875,696.417724609375,696.417724609375
14,642.5764770507812,642.5764770507812,653.3429565429688,653.3429565429688
15,617.1915283203125,617.1915283203125,630.3866577148438,630.3866577148438
16,582.076416015625,582.076416015625,619.4266357421875,619.4266357421875
17,564.3411254882812,564.3411254882812,587.420166015625,587.420166015625
18,558.70654296875,558.70654296875,596.6690673828125,596.6690673828125
19,524.073486328125,524.073486328125,553.6517333984375,553.6517333984375
20,515.8399047851562,515.8399047851562,556.5896606445312,556.5896606445312
21,488.9095764160156,488.9095764160156,533.1022338867188,533.1022338867188
22,470.5812683105469,470.5812683105469,520.871826171875,520.871826171875
23,464.9281005859375,464.9281005859375,499.9235534667969,499.9235534667969
24,445.6073913574219,445.6073913574219,499.04364013671875,499.04364013671875
25,443.3033447265625,443.3033447265625,507.8899230957031,507.8899230957031
26,445.2639465332031,445.2639465332031,479.31170654296875,479.31170654296875
27,409.6258544921875,409.6258544921875,450.6896667480469,450.6896667480469
28,407.3822021484375,407.3822021484375,441.91094970703125,441.91094970703125
29,393.1583251953125,393.1583251953125,434.8403015136719,434.8403015136719
30,391.91729736328125,391.91729736328125,443.9501037597656,443.9501037597656
31,401.853515625,401.853515625,431.0342102050781,431.0342102050781
32,370.0968933105469,370.0968933105469,433.9115905761719,433.9115905761719
33,365.7926940917969,365.7926940917969,424.5190124511719,424.5190124511719
34,368.0615539550781,368.0615539550781,408.5440673828125,408.5440673828125
35,347.8998718261719,347.8998718261719,419.5546875,419.5546875
36,348.1192321777344,348.1192321777344,410.03204345703125,410.03204345703125
37,327.6309509277344,327.6309509277344,381.78387451171875,381.78387451171875
38,321.1081848144531,321.1081848144531,384.8205871582031,384.8205871582031
39,319.2923583984375,319.2923583984375,371.09539794921875,371.09539794921875
40,309.0413818359375,309.0413818359375,350.8717956542969,350.8717956542969
41,313.3704528808594,313.3704528808594,390.87060546875,390.87060546875
42,309.7158508300781,309.7158508300781,363.40887451171875,363.40887451171875
43,294.7433776855469,294.7433776855469,362.0157470703125,362.0157470703125
44,285.8515319824219,285.8515319824219,349.57379150390625,349.57379150390625
45,276.6408386230469,276.6408386230469,330.6144104003906,330.6144104003906
46,266.5304870605469,266.5304870605469,337.6050109863281,337.6050109863281
47,259.0621337890625,259.0621337890625,346.2529602050781,346.2529602050781
48,275.5311279296875,275.5311279296875,326.30548095703125,326.30548095703125
49,265.4635009765625,265.4635009765625,354.30133056640625,354.30133056640625
50,274.8437194824219,274.8437194824219,331.007080078125,331.007080078125
51,258.9897155761719,258.9897155761719,327.1524963378906,327.1524963378906
52,238.92662048339844,238.92662048339844,334.4533996582031,334.4533996582031
53,236.57220458984375,236.57220458984375,320.0887451171875,320.0887451171875
54,237.7810516357422,237.7810516357422,307.12030029296875,307.12030029296875
55,247.77345275878906,247.77345275878906,338.3570861816406,338.3570861816406
56,243.26986694335938,243.26986694335938,310.7591552734375,310.7591552734375
57,224.4669952392578,224.4669952392578,301.8404541015625,301.8404541015625
58,218.3908233642578,218.3908233642578,309.97760009765625,309.97760009765625
59,219.71913146972656,219.71913146972656,338.3013610839844,338.3013610839844
60,245.8617706298828,245.8617706298828,354.268798828125,354.268798828125
61,233.427734375,233.427734375,289.96954345703125,289.96954345703125
62,212.61859130859375,212.61859130859375,290.9482727050781,290.9482727050781
63,216.74021911621094,216.74021911621094,300.7459411621094,300.7459411621094
64,204.9470672607422,204.9470672607422,285.8205871582031,285.8205871582031
65,207.06834411621094,207.06834411621094,279.2159118652344,279.2159118652344
66,199.38755798339844,199.38755798339844,319.3370361328125,319.3370361328125
67,221.41064453125,221.41064453125,281.7076721191406,281.7076721191406
68,204.142822265625,204.142822265625,293.2047424316406,293.2047424316406
69,200.85411071777344,200.85411071777344,272.37664794921875,272.37664794921875
70,212.66505432128906,212.66505432128906,296.8769226074219,296.8769226074219
71,201.52947998046875,201.52947998046875,280.92816162109375,280.92816162109375
72,191.56600952148438,191.56600952148438,300.6261291503906,300.6261291503906
73,192.3000030517578,192.3000030517578,283.4688720703125,283.4688720703125
74,200.62289428710938,200.62289428710938,289.0458679199219,289.0458679199219
75,184.35935974121094,184.35935974121094,267.6050720214844,267.6050720214844
76,184.26060485839844,184.26060485839844,279.9029846191406,279.9029846191406
77,176.31654357910156,176.31654357910156,265.3672180175781,265.3672180175781
78,172.9591522216797,172.9591522216797,280.3818664550781,280.3818664550781
79,178.83763122558594,178.83763122558594,291.9267272949219,291.9267272949219
80,177.3478240966797,177.3478240966797,267.4322204589844,267.4322204589844
81,165.79075622558594,165.79075622558594,260.38690185546875,260.38690185546875
82,161.87367248535156,161.87367248535156,256.9580383300781,256.9580383300781
83,164.20994567871094,164.20994567871094,274.4306335449219,274.4306335449219
84,157.4219207763672,157.4219207763672,250.31471252441406,250.31471252441406
85,154.34024047851562,154.34024047851562,252.41627502441406,252.41627502441406
86,161.28817749023438,161.28817749023438,253.73892211914062,253.73892211914062
87,161.07269287109375,161.07269287109375,266.404541015625,266.404541015625
88,171.73516845703125,171.73516845703125,272.46258544921875,272.46258544921875
89,178.62672424316406,178.62672424316406,286.5742492675781,286.5742492675781
90,174.652099609375,174.652099609375,275.09698486328125,275.09698486328125
91,163.97288513183594,163.97288513183594,254.49317932128906,254.49317932128906
92,152.10354614257812,152.10354614257812,250.65234375,250.65234375
93,148.14454650878906,148.14454650878906,234.97918701171875,234.97918701171875
94,144.45025634765625,144.45025634765625,224.06748962402344,224.06748962402344
95,142.92559814453125,142.92559814453125,228.25962829589844,228.25962829589844
96,137.57371520996094,137.57371520996094,230.03526306152344,230.03526306152344
97,135.97401428222656,135.97401428222656,224.94017028808594,224.94017028808594
98,135.49546813964844,135.49546813964844,229.5784149169922,229.5784149169922
99,149.34780883789062,149.34780883789062,242.42149353027344,242.42149353027344
100,136.90118408203125,136.90118408203125,233.04527282714844,233.04527282714844
101,136.58731079101562,136.58731079101562,238.75160217285156,238.75160217285156
102,138.9663848876953,138.9663848876953,245.86810302734375,245.86810302734375
103,136.35345458984375,136.35345458984375,224.05703735351562,224.05703735351562
104,142.59478759765625,142.59478759765625,247.6874542236328,247.6874542236328
105,151.35189819335938,151.35189819335938,234.337890625,234.337890625
106,152.10121154785156,152.10121154785156,223.44105529785156,223.44105529785156
107,154.8469696044922,154.8469696044922,262.7596435546875,262.7596435546875
108,156.41554260253906,156.41554260253906,239.58299255371094,239.58299255371094
109,139.90902709960938,139.90902709960938,216.88401794433594,216.88401794433594
110,133.9947967529297,133.9947967529297,237.72581481933594,237.72581481933594
111,138.67959594726562,138.67959594726562,214.89071655273438,214.89071655273438
112,125.07910919189453,125.07910919189453,220.94374084472656,220.94374084472656
113,121.32534790039062,121.32534790039062,220.58006286621094,220.58006286621094
114,123.69235229492188,123.69235229492188,214.16632080078125,214.16632080078125
